Harbor;Latitude;Longitude;Latitude2;Longitude2
paernu;N 58 23;E 024 29;58.3833333333;24.4833333333
rohukula%20;N 58 54;E 023 25;58.9;23.4166666667
roomassaare;N 58 13;E 022 30;58.2166666667;22.5
sillamae;N 59 25;E 027 44;59.4166666667;27.7333333333
TALLINN;N 59 27;E 024 42;59.45;24.7
virtsu;N 58 35;E 023 30;58.5833333333;23.5
suva;S 18 08;E 178 26;-18.1333333333;178.433333333
eckero;N 60 14;E 019 32;60.2333333333;19.5333333333
ekenas;N 59 59;E 023 26;59.9833333333;23.4333333333
hamina;N 60 33;E 027 10;60.55;27.1666666667
hanko;N 59 49;E 022 57;59.8166666667;22.95
HELSINKI;N 60 08;E 024 57;60.1333333333;24.95
inkoo;N 60 01;E 023 55;60.0166666667;23.9166666667
joensuu;N 62 35;E 029 45;62.5833333333;29.75
joutseno;N 61 08;E 028 27;61.1333333333;28.45
kantvik;N 60 05;E 024 22;60.0833333333;24.3666666667
kaskinen;N 62 22;E 021 13;62.3666666667;21.2166666667
kemi;N 65 42;E 024 36;65.7;24.6
kokkola;N 63 51;E 023 03;63.85;23.05
